part_number,assembly_path,object_name,label,quantity,material_code,material_description,material_standard,estimated_mass_kg,volume_mm3,design_status
06-019,06_Guincho/06_Guincho,Guincho_Manivela,Guincho Manivela,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,2.01879,257170.706,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-020,06_Guincho/06_Guincho,Guincho_Empunhadura_Giratoria,Guincho Empunhadura Giratoria,1,RUBBER,Borracha reciclada,Borracha industrial; dureza e composto a confirmar,0.291579,265071.88,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-021,06_Guincho/06_Guincho,Guincho_Parafuso_Base_01,Guincho Parafuso Base 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.070137,8934.69,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-022,06_Guincho/06_Guincho,Guincho_Parafuso_Base_02,Guincho Parafuso Base 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.070137,8934.69,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-023,06_Guincho/06_Guincho,Guincho_Parafuso_Base_03,Guincho Parafuso Base 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.070137,8934.69,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-024,06_Guincho/06_Guincho,Guincho_Parafuso_Base_04,Guincho Parafuso Base 04,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.070137,8934.69,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-001,07_Trolley/07_Trolley,Trolley_Eixo_Principal_01,Trolley Eixo Principal 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,1.372659,174861.047,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-002,07_Trolley/07_Trolley,Trolley_Porca_Eixo_01_Esq,Trolley Porca Eixo 01 Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.125741,16018.006,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-003,07_Trolley/07_Trolley,Trolley_Porca_Eixo_01_Dir,Trolley Porca Eixo 01 Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.125741,16018.006,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-004,07_Trolley/07_Trolley,Trolley_Polia_01_01_Aro_Canaletado,Trolley Polia 01 01 Aro Canaletado,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,4.469485,569361.132,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-005,07_Trolley/07_Trolley,Trolley_Polia_01_01_Cubo,Trolley Polia 01 01 Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.256828,32716.965,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-006,07_Trolley/07_Trolley,Trolley_Polia_01_01_Rolamento_Esq,Trolley Polia 01 01 Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.017509,2230.385,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-007,07_Trolley/07_Trolley,Trolley_Polia_01_01_Rolamento_Dir,Trolley Polia 01 01 Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.017509,2230.385,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-008,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_01_01_Aro_Canaletado,Trolley Rolete Retencao 01 01 Aro Canaletado,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.327795,41757.319,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-009,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_01_01_Cubo,Trolley Rolete Retencao 01 01 Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.006709,854.592,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-010,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_01_01_Rolamento_Esq,Trolley Rolete Retencao 01 01 Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.007036,896.342,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-011,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_01_01_Rolamento_Dir,Trolley Rolete Retencao 01 01 Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.007036,896.342,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-012,07_Trolley/07_Trolley,Trolley_Eixo_Rolete_01_01,Trolley Eixo Rolete 01 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.114799,14624.114,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-013,07_Trolley/07_Trolley,Trolley_Suporte_Rolete_01_01,Trolley Suporte Rolete 01 01,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.98125,125000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-014,07_Trolley/07_Trolley,Trolley_Polia_01_02_Aro_Canaletado,Trolley Polia 01 02 Aro Canaletado,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,4.469485,569361.132,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-015,07_Trolley/07_Trolley,Trolley_Polia_01_02_Cubo,Trolley Polia 01 02 Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.256828,32716.965,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-016,07_Trolley/07_Trolley,Trolley_Polia_01_02_Rolamento_Esq,Trolley Polia 01 02 Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.017509,2230.385,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-017,07_Trolley/07_Trolley,Trolley_Polia_01_02_Rolamento_Dir,Trolley Polia 01 02 Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.017509,2230.385,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-018,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_01_02_Aro_Canaletado,Trolley Rolete Retencao 01 02 Aro Canaletado,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.327795,41757.319,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-019,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_01_02_Cubo,Trolley Rolete Retencao 01 02 Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.006709,854.592,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-020,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_01_02_Rolamento_Esq,Trolley Rolete Retencao 01 02 Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.007036,896.342,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-021,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_01_02_Rolamento_Dir,Trolley Rolete Retencao 01 02 Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.007036,896.342,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-022,07_Trolley/07_Trolley,Trolley_Eixo_Rolete_01_02,Trolley Eixo Rolete 01 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.114799,14624.114,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-023,07_Trolley/07_Trolley,Trolley_Suporte_Rolete_01_02,Trolley Suporte Rolete 01 02,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.98125,125000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-024,07_Trolley/07_Trolley,Trolley_Eixo_Principal_02,Trolley Eixo Principal 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,1.372659,174861.047,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-025,07_Trolley/07_Trolley,Trolley_Porca_Eixo_02_Esq,Trolley Porca Eixo 02 Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.125741,16018.006,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-026,07_Trolley/07_Trolley,Trolley_Porca_Eixo_02_Dir,Trolley Porca Eixo 02 Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.125741,16018.006,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-027,07_Trolley/07_Trolley,Trolley_Polia_02_01_Aro_Canaletado,Trolley Polia 02 01 Aro Canaletado,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,4.469485,569361.132,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-028,07_Trolley/07_Trolley,Trolley_Polia_02_01_Cubo,Trolley Polia 02 01 Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.256828,32716.965,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-029,07_Trolley/07_Trolley,Trolley_Polia_02_01_Rolamento_Esq,Trolley Polia 02 01 Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.017509,2230.385,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-030,07_Trolley/07_Trolley,Trolley_Polia_02_01_Rolamento_Dir,Trolley Polia 02 01 Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.017509,2230.385,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-031,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_02_01_Aro_Canaletado,Trolley Rolete Retencao 02 01 Aro Canaletado,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.327795,41757.319,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-032,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_02_01_Cubo,Trolley Rolete Retencao 02 01 Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.006709,854.592,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-033,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_02_01_Rolamento_Esq,Trolley Rolete Retencao 02 01 Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.007036,896.342,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-034,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_02_01_Rolamento_Dir,Trolley Rolete Retencao 02 01 Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.007036,896.342,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-035,07_Trolley/07_Trolley,Trolley_Eixo_Rolete_02_01,Trolley Eixo Rolete 02 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.114799,14624.114,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-036,07_Trolley/07_Trolley,Trolley_Suporte_Rolete_02_01,Trolley Suporte Rolete 02 01,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.98125,125000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-037,07_Trolley/07_Trolley,Trolley_Polia_02_02_Aro_Canaletado,Trolley Polia 02 02 Aro Canaletado,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,4.469485,569361.132,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-038,07_Trolley/07_Trolley,Trolley_Polia_02_02_Cubo,Trolley Polia 02 02 Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.256828,32716.965,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-039,07_Trolley/07_Trolley,Trolley_Polia_02_02_Rolamento_Esq,Trolley Polia 02 02 Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.017509,2230.385,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-040,07_Trolley/07_Trolley,Trolley_Polia_02_02_Rolamento_Dir,Trolley Polia 02 02 Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.017509,2230.385,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-041,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_02_02_Aro_Canaletado,Trolley Rolete Retencao 02 02 Aro Canaletado,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.327795,41757.319,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-042,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_02_02_Cubo,Trolley Rolete Retencao 02 02 Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.006709,854.592,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-043,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_02_02_Rolamento_Esq,Trolley Rolete Retencao 02 02 Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.007036,896.342,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-044,07_Trolley/07_Trolley,Trolley_Rolete_Retencao_02_02_Rolamento_Dir,Trolley Rolete Retencao 02 02 Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.007036,896.342,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-045,07_Trolley/07_Trolley,Trolley_Eixo_Rolete_02_02,Trolley Eixo Rolete 02 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.114799,14624.114,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-046,07_Trolley/07_Trolley,Trolley_Suporte_Rolete_02_02,Trolley Suporte Rolete 02 02,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.98125,125000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-047,07_Trolley/07_Trolley,Trolley_Chapa_Lateral_01,Trolley Chapa Lateral 01,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,8.645876,1101385.488,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-048,07_Trolley/07_Trolley,Trolley_Chapa_Lateral_02,Trolley Chapa Lateral 02,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,8.645876,1101385.488,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-049,07_Trolley/07_Trolley,Trolley_Travessa_01,Trolley Travessa 01,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,1.56843,199800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-050,07_Trolley/07_Trolley,Trolley_Travessa_02,Trolley Travessa 02,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,1.56843,199800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-051,07_Trolley/07_Trolley,Trolley_Travessa_03,Trolley Travessa 03,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,1.56843,199800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-052,07_Trolley/07_Trolley,Trolley_Montante_Suspensao,Trolley Montante Suspensao,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,1.559952,198720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-053,07_Trolley/07_Trolley,Trolley_Balancim_Suspensao,Trolley Balancim Suspensao,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,1.848832,235520.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-054,07_Trolley/07_Trolley,Trolley_Olhal_Tracao,Trolley Olhal Tracao,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.128155,143713.984,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
07-055,07_Trolley/07_Trolley,Trolley_Protecao_Polias,Trolley Protecao Polias,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,12.84888,1636800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-001,08_Container/08_Container,Container_Montante_01,Container Montante 01,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.29525,165000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-002,08_Container/08_Container,Container_Montante_02,Container Montante 02,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.29525,165000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-003,08_Container/08_Container,Container_Montante_03,Container Montante 03,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.29525,165000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-004,08_Container/08_Container,Container_Montante_04,Container Montante 04,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.29525,165000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-005,08_Container/08_Container,Container_Travessa_Inferior_01,Container Travessa Inferior 01,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.230488,156750.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-006,08_Container/08_Container,Container_Travessa_Inferior_02,Container Travessa Inferior 02,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.230488,156750.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-007,08_Container/08_Container,Container_Travessa_Inferior_03,Container Travessa Inferior 03,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.230487,156750.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-008,08_Container/08_Container,Container_Travessa_Inferior_04,Container Travessa Inferior 04,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.230487,156750.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-009,08_Container/08_Container,Container_Travessa_Superior_05,Container Travessa Superior 05,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.230488,156750.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-010,08_Container/08_Container,Container_Travessa_Superior_06,Container Travessa Superior 06,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.230488,156750.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-011,08_Container/08_Container,Container_Travessa_Superior_07,Container Travessa Superior 07,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.230487,156750.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-012,08_Container/08_Container,Container_Travessa_Superior_08,Container Travessa Superior 08,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.230487,156750.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-013,08_Container/08_Container,Container_Ripa_Piso_01,Container Ripa Piso 01,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.610416,77760.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-014,08_Container/08_Container,Container_Ripa_Piso_02,Container Ripa Piso 02,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.610416,77760.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-015,08_Container/08_Container,Container_Ripa_Piso_03,Container Ripa Piso 03,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.610416,77760.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-016,08_Container/08_Container,Container_Ripa_Piso_04,Container Ripa Piso 04,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.610416,77760.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-017,08_Container/08_Container,Container_Ripa_Piso_05,Container Ripa Piso 05,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.610416,77760.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-018,08_Container/08_Container,Container_Ripa_Piso_06,Container Ripa Piso 06,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.610416,77760.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-019,08_Container/08_Container,Container_Porta_Travessa_Inferior,Container Porta Travessa Inferior,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,0.779976,99360.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-020,08_Container/08_Container,Container_Porta_Travessa_Superior,Container Porta Travessa Superior,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,0.779976,99360.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-021,08_Container/08_Container,Container_Porta_Montante_Esq,Container Porta Montante Esq,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,0.779976,99360.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-022,08_Container/08_Container,Container_Porta_Montante_Dir,Container Porta Montante Dir,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,0.779976,99360.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-023,08_Container/08_Container,Container_Dobradica_01,Container Dobradica 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.195319,24881.414,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-024,08_Container/08_Container,Container_Dobradica_02,Container Dobradica 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.195319,24881.414,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-025,08_Container/08_Container,Container_Fecho_Porta,Container Fecho Porta,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.359919,45849.556,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-026,08_Container/08_Container,Container_Painel_Malha_Frente,Container Painel Malha Frente,1,MESH,Malha eletrossoldada galvanizada,Tela eletrossoldada galvanizada; bitola a confirmar,1.631358,207816.354,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-027,08_Container/08_Container,Container_Painel_Malha_Fundo,Container Painel Malha Fundo,1,MESH,Malha eletrossoldada galvanizada,Tela eletrossoldada galvanizada; bitola a confirmar,1.631358,207816.354,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-028,08_Container/08_Container,Container_Painel_Malha_Esquerda,Container Painel Malha Esquerda,1,MESH,Malha eletrossoldada galvanizada,Tela eletrossoldada galvanizada; bitola a confirmar,1.631358,207816.354,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-029,08_Container/08_Container,Container_Painel_Malha_Direita,Container Painel Malha Direita,1,MESH,Malha eletrossoldada galvanizada,Tela eletrossoldada galvanizada; bitola a confirmar,1.631358,207816.354,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-030,08_Container/08_Container,Container_Pino_Pivo,Container Pino Pivo,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,5.753035,732870.734,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-031,08_Container/08_Container,Container_Arruela_Pivo_Esq,Container Arruela Pivo Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.933586,118928.131,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-032,08_Container/08_Container,Container_Arruela_Pivo_Dir,Container Arruela Pivo Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.933586,118928.131,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-033,08_Container/08_Container,Container_Tirante_Suspensao_01,Container Tirante Suspensao 01,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.172631,21991.149,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-034,08_Container/08_Container,Container_Elo_01_01,Container Elo 01 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.059618,7594.661,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-035,08_Container/08_Container,Container_Elo_01_02,Container Elo 01 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.059618,7594.661,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-036,08_Container/08_Container,Container_Elo_01_03,Container Elo 01 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.059618,7594.661,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-037,08_Container/08_Container,Container_Tirante_Suspensao_02,Container Tirante Suspensao 02,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.172631,21991.149,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-038,08_Container/08_Container,Container_Elo_02_01,Container Elo 02 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.059618,7594.661,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-039,08_Container/08_Container,Container_Elo_02_02,Container Elo 02 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.059618,7594.661,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-040,08_Container/08_Container,Container_Elo_02_03,Container Elo 02 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.059618,7594.661,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
08-041,08_Container/08_Container,Container_Balancim_Superior,Container Balancim Superior,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.90432,115200.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
09-001,09_Escala_Humana/09_Escala_Humana,Pessoa_01,Pessoa 01 - 1.72 m,1,HUMAN_1,Figura de escala,Somente escala visual,74.890611,74890611.13,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
09-002,09_Escala_Humana/09_Escala_Humana,Pessoa_02,Pessoa 02 - 1.62 m,1,HUMAN_2,Figura de escala,Somente escala visual,62.552383,62552383.388,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
09-003,09_Escala_Humana/09_Escala_Humana,Pessoa_03,Pessoa 03 - 1.80 m,1,HUMAN_3,Figura de escala,Somente escala visual,85.851139,85851138.706,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
